sentence,translation
ゲームシステム設定,Game system options
同意する,I agree
侵入者確認できず,I can't confirm the intruder's whereabouts
クスリが効きすぎたか。起こせ,Was the medicine too strong? Wake up!
冷酷な刑事,Cruel detective
素直になれ…それとも、お注射もう１本いくか？,Be obedient...or else...how about one more injection?
いいから通して。緊急です。被疑者に　どうしても確かめたい事が。,Listen, let me through, it's an emergency. I have to confirm something from a suspect.
たった今　お宅の部長さんから電話があった,I just received a phone call from chief.
自分で確かめるまで、納得できません。,I won't be satisfied until I make sure of it myself
時間を切らせてもらうよ。長話は、許可できない。,I'll set a time limit. I won't allow you to have a long talk.
だから正直を答えて。これに私も時間がないの。,So answer honestly. I don't have much time as well.
他人の「心」なんて、一体どうやったら盗めるの？,How is it possible to steal another person's heart?
貴方は囚われ…,You're a captive
全ては、半年前… ゲームが始まったあの日…,Everything...half a year ago... That game started on that day
ここまでの物語を保存しますか？,Do you want to save progress up until now?
今日から世話になるサクラーソウジロウの家…,Starting from today I'm gonna be looked after by Sakura Soujiro, at his house...
ん？その住所のお宅…？,Hm? The house at this address...?
留守みたいだな…,It seems that nobody is home...
でもルブランは裏路地だし　他の配送が先かな,But Leblanc is in the back alley, I have another delivery before that.
これじゃ、市民は安心して暮らせませんよ。,And now citizens can't even live safely.
変な暴走事故、続いてるじゃない。 この辺でも起きなきゃいいなってね。,Bizzarre accidents keep happening. Even in this place it's bound to happen...
サクラーソウジロウだ 一年間、お前を預かる事になってる。,I'm Sakura Soujiro. For the next year I'm gonna be looking after you
寝床のシーツくらいはくれてやるよ。,I'll give you sheets for the bed.
後は、自分で片付けろ。,Tidy things up here by yourself after.
店閉めたら、俺は引き上げる。,I leave when the shop closes.
一応、事情は聞いてるよ。,Well, I told you how things are more or less.
余計なこと言うなよ。 これでも客商売だからな。,Don't day unnecessary things. This is a service business after all.
おまえな…「保護観察」期間だよ。,What do you....probation period!
先生がたに挨拶参りだ,We'll go to greet the teachers
お前らのような無能な連中は、 黙って俺の「舵取り」に従え。,Incompetent fools like you should just shut up and obey my leadership.
気づいたようだな、囚人。,So you noticed, huh? Inmate.
改めて伝えておくが、 問題を起こせば、即、退学処分だ。,I'll tell you again, if he causes any trouble, he'll be expelled instantly.
これから、君が問題を起こしても、 私は一切かばえません。,And again, you you cause problems, I won't protect you whatsoever
全ては彼の責任だ。,Everything is his own responsibility.
そういや先月に、 大きな交通事故な。,That's right, last month a big traffic incident occured.
電話の音は、自分の携帯からではないようだ。,The sound of the phone, it isn't from my own cellphone.
あー…店閉めたんだが、 店の表札を裏返すの忘れてな。,Um, I close the door but forgot to turn the doorplate the other way
俺は携帯に 男の番号は登録しない主義。,When it comes to cellphones it's my principle to not register phone numbers of guys.
それじゃ表札の件、頼んだぞ。,Well, I'll leave the doorplate matter to you.
明日は早い… 今日は出歩くのはおこう…,Have to wake up early tomorrow... Better stop roaming around for today.
テーブルは上はキレイに磨かれている。,The top of the table has been thoroughly polished
渋谷まで出て、乗り換えるようだ,It seems that I have to go to Jaya, then change trains
例の地下鉄事故のニュースだ…,These subway incident they mentioned on the news...
負傷者が多数出ているらしい。,There has probably been a large number of casualties.
また、いつの間にか復活している…,Again, before I even noticed it reappeared...
初日から遅刻まずい。 そろそろ出発しよう。,If I run late from the first day, it's gonna be bad. Better go already.
まあ、メシくらいくれてやる。 客が来る前に済ませるよ。,Well, here's your meal. Finish it before customers get here.
さっさと行け。 迷うと遅刻するぞ。,Go already. If you get lost, you'll be late.
あ、外の札「OPEN」に変えといてくれ。,And change the sign outside to OPEN.
路地を戻って、突き当たりを左だよ。 大きな通りが見える方,Go back the alleway, once the street ends go to the left. You'll see the big street.
しかし物騒だよねえ… 世の中、どうなってんだか。,It's dangerous, isn't it.... What has happened with the world?
あんな事故の後だから、一応ね。 不安な市民も多いようだし。,Because it's after those incident, for the time being a lot of citizens are gonna be nervous.
物凄い圧迫感だ…,I feel very oppressed...(because there're a ton of people around him)
銀座線ですか？ それでしたら、こちらの改札になります。,Ginza line, huh? If that's the case, go through that ticket barrier over there.
急にだよ、雨。 春先は、これだから…,But it's so sudden, the rain. It's the beginning of spring...
そういや…傘持ってたよ…？,Come to think of it...did he bring an umbrella...?
同僚が巻き込まれて、入院しちまってね…,My coworker got dragged into that and was hospitalized...
事故や事件起こした人、 なんか突然おかしくなったらしいじゃない？,All of this incidents and people getting into accidents all of the sudden, doesn't it all seem somewhat weird to you?
時間がかかった、ようやく辿り着いた…,It took some time but I finally made it...
好き放題しやがって…お城の王様かよ。 そう思わねえか？,Doing as he pleases...like a king in a castle. Don't you think so too?
あ…？　他にねえだろう、この制服。,I can't be someone else in this uniform. (impl. he was asked if he's from Shujin academy as well)
巷で「精神暴走事件」なんて呼ばれてる騒ぎ、 知ってるね。,The public was in an uproar and called it [The mental rampage incident]
あの日…君はまだ「単なる学生」だったの？,That day...you were still a simple student, weren't you?
喜べ、貴様の処刑が決まった。,Rejoice. Your execution has been settled.
また逆らうつもりか？ 貴様、ちっとも反省してないな？　え？,Again you disobey me, huh? You vermin aren't being sorry in the slightest?
ほう、貴様、逃げるのか？ 随分、薄情な仲間だな？,Oh, you're going to run? What a terribly heartless comrade we have here.
俺様は、コイツの処刑に集中するとしよう…,I will concentrate on executing this one...
我は、お前に宿る、反逆者の魂。,I dwell in you, in your rebellious soul!
出口が知りたいのか？ 出してくれれば案内するぞ。,Do you want to know where the exit is? If you let me out, I'll guide you to it.
ついてこい、静かにだぞ！,Follow me. And be quiet!
いや、そんなの余計面倒なことになるし,No. That'll just bring them unneccessary trouble.
決まってるだろ、橋を降ろすんだよ。,It's obvious. I'm going to lower the bridge.
基本中の基本だ。 覚えとけ！,It's basic of the basics. Remember it!
テメエ、騙しやがったのか！？,You! Did you deceive us!?
校長から聞いていると思うが、 問題を起こしたら、退学だからな？,I think you heard it from a head teacher, that If you cause problems, you'll be expelled, right?
初日から半日遅刻ね…,Half a day late from the first day, huh?
屋上って、立ち入り禁止…,But the roof is off limits...
次の新聞ネタ、どうしよ… どっかにいいネタないかな…,What do you I do with the next newspaper material... I don't have anything good, do I?
聞いたぜ、「前歴」あんだって？ 噂んなってるよ。,You heard, right? That I have personal history and all that? The rumors are spreading.
お前は知らないだろうが、 やろうには…噂があんだよ。,You don't know, don't you? About the rumors of the bastard.
初日から、半日サボったって？,Skipped half a day from the first day?
何かあったら、人生終わっちまうんだ。 保護観察って意味、分かってるか？,Should anything happen and your life will be over. You understand the meaning of probation, right?
…違うって、男だよ。 バイトを雇っただけだって。,No, no. It's a boy. Just a part timer I hired.
鍵かけて、それと、電気消しとけ。 忘れんなよ。,Lock up and turn off the light. Don't forget!
真面目な学生生活を送れ,Live your daily life like an honest student
まずは再会を喜ぶとしよう。,First of all let me congratulate you on our reunion.
これでようやく更生を始められる。,Now you can finally start your rehabilitation
お前には…期待しているのだよ。,I have high expectations of you
あれを使えば、 現実とパレスとを行き来できる。,If you use that, you'll be able to come and go between reality and palaces.
立派な「賊」になれるよう。 せいぜい精進なさい。,In order to become a great thief, fully devote yourself to it!
すべては、お前がより優れた… 「賊」に育つ。,Everything is done in order for you to excel and grow up as a thief.
ふん、時間だ。 戻ってせいぜい休憩時間を楽しむがいい…,It's time. You better go back and enjoy your break time to the fullest.
また奇妙な夢を見た…,Again I saw some strange dream...
無事に学校に着いたようだ… あの城は、なんだったのだろう…？,It seems that I made it to school safely. What was that castle?
正解だ。,That's correct
よく分かるな… ホントに不良？,Wow, he knows that... Is he really delinquent?
質問に答えられたことで すこし賢くなった気がする…,I answered the question and feel like I became a little bit smarter
帰り、乗って行くか？ 近ごろ、事件だなんだで物騒だしな。,Need a ride if you're coming home? It's dangerous nowadays with accidents and all that.
いえ、今日はバイトで撮影が… 夏の特集号で、外せなくて…,No, I have a part-time job today. I'm leaving for a photoshoot for the special summer number(journal)
親友は練習ばかりで、寂しいだろう？ 悪いと思って誘ったんだが。,Your best friend is always at practice, aren't you lonely? I thought that and invited you because of that.
…ああそうそう、例の転校生、 気を付けた方がいいぞ。,Ah, and also you better watch out for that transfer student everybody talks about.
ナビがどうか知らねえけど、 携帯からそれっぽい声、出てだろ,One way or the other, I don't know what that navigator voice was, but it came from your phone
アプリ立ち上げるだけだろう？,I'm just starting the application
せっかく逃げ延びたのに また正面から来るとはな。,I helped you escape with great trouble, but here you are coming through the front door again.
あいつが歪んだ心の目で見ている学校だ。,That's the way him and his distorted heart views this school
捕まってる奴隷だろう。,That was (the voice of) caught slave
こっから先は、戦いが避けられそうもない。,It looks like we can't avoid the fight ahead.
ここだけ歪みが少ない。 主の支配が弱い場所ってことだ。,In here the distortion is small. The control master has of this place is weak.
歪んだ欲望が具現化した世界、と言ってもいい。,You can say that's a world materialized from his distorted desires
防ぐには、強い「反逆の意志」を持つしかない。,The only way to protect against that is to have the rebellious will.
でも見た目、超リアルだし、 脅すくらいには使えねんだろう。,But the look of it is totally like the real thing. We can use it for something like threatening
修練城って言ってたな？,They said place for practice , didn't they?
じゃ、じゃあ、警戒度が上がっちまったら、 逃げるしかねえのか？,So, sooo... Once degree of alertness rises, we'll have no choice but to run?
こいつらはな、 鴨志田が「認知してるだけの人間」だ。,These guys only exist in Kamoshida's cognition
しっかし、ひでえな。 現実でも「奴隷」扱いってことだろ？,But it's horrible.. So he treats them as slaves even in reality?
鴨志田には体罰の噂があんだよ。 あくまで噂だけど…,There're rumors that Kamoshida uses corporal punishment. But those were no more than rumors...
急げ！ 早く脱出するぞ！,Hurry! Let's escape this place quickly!
リュージ、冷静になれ！ あの子は、どうやら本物じゃない。,Ryuji, calm down! She's not the real one.
気味が悪い。,I have a bad feeling
要は使い方次第か,In short learning how to use(this app) ASAP
それよりもまずは 体罰の証拠だ,More importantly is finding the evidence of corporal punishment
身体が疲れている。 あの異世界のせいだろうか…,My body is tired. That's probably because of that other world...
どうだ？ この場所には慣れてきたね？,So? Have you come to getting used to this place? (Got used to this place?)
お前の更生は、ひいては滅びの運命を退けるため。 そのような事、独りの力ではならぬ,Your rehabilitation is done in order to reject this destructive fate as well. For that, one's own strength is not enough.
だが今日、お前は、 同じ力に目覚めた隣人と、協力の約束をしたな？,But today you witnessed the same power waking up in your neighbor and you made a deal to cooperate with him?
貴方を取り囲む絆が強くなれば、 それだけペルソナも力を得るでしょう。,When bonds that surround you become strong, the Persona too will gain power
フフ…契約成立だな。,Haha...That concludes our contract (establishes it)
イゴールからの期待を感じる…,I can sense Igor's expectations
教師チームと対戦って…意味わかんねえーよ。 鴨志田先生に敵うわけないじゃん。,Playing a match against a team of teachers...I don't understand why. There's no point in competing against Kamoshida-sensei in a match, right?
